q,grid_denominator,lower,upper,width,grid_hit,false_negative
100000,100,100001/200000,100003/200000,1/100000,False,True
100000,1000,100001/200000,100003/200000,1/100000,False,True
100000,10000,100001/200000,100003/200000,1/100000,False,True
1000000,100,1000001/2000000,1000003/2000000,1/1000000,False,True
1000000,1000,1000001/2000000,1000003/2000000,1/1000000,False,True
1000000,10000,1000001/2000000,1000003/2000000,1/1000000,False,True
10000000,100,10000001/20000000,10000003/20000000,1/10000000,False,True
10000000,1000,10000001/20000000,10000003/20000000,1/10000000,False,True
10000000,10000,10000001/20000000,10000003/20000000,1/10000000,False,True
