atom_count,case_id,certificate_bytes,checker_kernel_ms,claim,coefficient_sum_bits,digest_match,generation_ms,max_coefficient_bits,oracle_calls,repetition,strict_margin,trust_level
0,timing_assignment_n60_p4_supportable,2559,38.204945,positive_weight_supportable,0,True,42.673795,0,1,10,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,38.393918,positive_weight_supportable,0,True,41.566966,0,1,11,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,40.25707,positive_weight_supportable,0,True,42.986824,0,1,12,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,41.359211,positive_weight_supportable,0,True,44.211608,0,1,13,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,36.99562,positive_weight_supportable,0,True,42.399394,0,1,14,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,37.021107,positive_weight_supportable,0,True,226.290091,0,1,15,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,48.302647,positive_weight_supportable,0,True,42.112233,0,1,16,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,38.947428,positive_weight_supportable,0,True,43.959491,0,1,17,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,58.989009,positive_weight_supportable,0,True,43.369898,0,1,18,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,37.459544,positive_weight_supportable,0,True,43.43815,0,1,19,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,41.131846,positive_weight_supportable,0,True,42.457251,0,1,20,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,38.56815,positive_weight_supportable,0,True,43.396207,0,1,21,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,36.985954,positive_weight_supportable,0,True,42.585713,0,1,22,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,38.498765,positive_weight_supportable,0,True,41.260317,0,1,23,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,41.846631,positive_weight_supportable,0,True,47.427937,0,1,24,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,63.589676,positive_weight_supportable,0,True,42.702458,0,1,25,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,40.729938,positive_weight_supportable,0,True,88.062006,0,1,26,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,38.532216,positive_weight_supportable,0,True,64.467572,0,1,27,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,38.088095,positive_weight_supportable,0,True,44.727957,0,1,28,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,36.846721,positive_weight_supportable,0,True,42.760716,0,1,29,,P1_FULLY_CHECKABLE
0,timing_assignment_n60_p4_supportable,2559,41.940321,positive_weight_supportable,0,True,41.702721,0,1,30,,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.439158,nonnegative_weight_unsupported,2,True,0.844425,1,2,1,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.406779,nonnegative_weight_unsupported,2,True,0.871175,1,2,2,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.403534,nonnegative_weight_unsupported,2,True,0.833799,1,2,3,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.398256,nonnegative_weight_unsupported,2,True,0.89425,1,2,4,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.384085,nonnegative_weight_unsupported,2,True,0.84115,1,2,5,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.367981,nonnegative_weight_unsupported,2,True,0.812457,1,2,6,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.384225,nonnegative_weight_unsupported,2,True,0.852206,1,2,7,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.377345,nonnegative_weight_unsupported,2,True,0.867159,1,2,8,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.489142,nonnegative_weight_unsupported,2,True,0.815812,1,2,9,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.477956,nonnegative_weight_unsupported,2,True,0.812967,1,2,10,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.516013,nonnegative_weight_unsupported,2,True,0.784596,1,2,11,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.370536,nonnegative_weight_unsupported,2,True,0.816684,1,2,12,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.419208,nonnegative_weight_unsupported,2,True,0.762643,1,2,13,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.639498,nonnegative_weight_unsupported,2,True,0.752898,1,2,14,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.366589,nonnegative_weight_unsupported,2,True,0.850044,1,2,15,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.368953,nonnegative_weight_unsupported,2,True,0.785917,1,2,16,1/1,P1_FULLY_CHECKABLE
